Report_ID,Date,Location,Department,Category_Tag,Ground_Truth_Severity,Report_Text
89108583-0,2025-04-17,Welding Bay,Manufacturing,Minor Maintenance,Ordinary,"During the mid-day inspection, the AC in the admin wing seems to be running a bit warm today. Sent a quick email to facilities about it."
1A8FA417-D,2024-07-25,Paint Shop,Quality Assurance,Behavioral,Ordinary,"Just before heading home, people were talking quite loudly near the designated quiet zone. Just wanted to note it for the next routine maintenance cycle. Reminded them politely to fix it next time."
B9D5A7B8-7,2026-06-21,Security Desk,Fleet Management,Minor Slip/Trip,Ordinary,"during the shift handover, a stray paperclip was on the ground in the hallway. not a huge deal but should be fixed when there is time. left a sticky note on it for the janitorial staff."
7DE65299-C,2026-06-12,Paint Shop,Manufacturing,Fire/Explosion,Critical,"responding to a strange noise, the only fire extinguisher for the welding bay was depressurized and missing its pin. someone could have easily lost a limb or worse. put up red caution tape and logged a high-priority, urgent maintenance ticket."
DB1C08ED-2,2025-11-20,Hazardous Waste Bay,Facilities,Uncategorized,Ordinary,"Just before heading home, the paper shredder bin is slightly overflowing onto the carpet. Flattened the mat out with my foot and kept walking."
6F2449DA-8,2024-10-15,Warehouse A,Manufacturing,Behavioral,Ordinary,"while unloading the delivery truck, someone was wearing earbuds in both ears while at their desk wiped it up with a paper towel on my way past"
0E8E6D43-D,2026-03-18,Hazardous Waste Bay,Facilities,Minor Slip/Trip,Ordinary,"While operating the equipment, the welcome floor mat in the hallway was slightly bunched up at the corner Not a huge deal but should be fixed when there is time Left a sticky note on it for the janitorial staff"
AD44BD96-D,2025-12-22,Security Desk,Admin,Minor Slip/Trip,Ordinary,"Doing a random spot check, a stray paperclip was on the ground in the hallway. No action taken, just reporting it for the record."
262C58B1-9,2025-10-12,Production Line 3,Engineering,Behavioral,Ordinary,While unloading the delivery truck someone was wearing earbuds in both ears while at their desk. Someone might stub their toe if they aren't looking. Flattened the mat out with my foot and kept walking.
A1A91DB1-8,2024-05-06,Breakroom,Fleet Management,Behavioral,Ordinary,"During the late night shift, a worker was wearing their safety glasses on their forehead while filling out paperwork It's just a minor inconvenience I just picked it up myself and threw it away"
5A1E9AC8-4,2024-04-05,Cold Storage,Security,Minor Slip/Trip,Ordinary,"a few drops of water were on teh floor near teh breakroom sink. Annoying squeak, but harmless. No action taken, just reporting it for teh record."
21B55B4F-C,2024-03-26,Welding Bay,Health & Safety (EHS),Chemical/Hazmat,Critical,"I saw new contractors mixing volatile cleaning agents without wearing any respirators. This is a serious precursor to a catastrophic mechanical failure. Evacuated the immediate area, hit the emergency stop, and called security."
6220594F-D,2024-08-10,Assembly Station Alpha,Operations,Minor Maintenance,Ordinary,i was walking back from the breakroom and the door hinge to the breakroom is squeaking quite loudly. put in a low-priority work order in the system.
A7487C8B-0,2024-07-03,Hallway C,Operations,Housekeeping,Ordinary,"During the late night shift, someone left their empty coffee cups on the shared workstation. Purely a cosmetic issue, but worth logging. Wiped it up with a paper towel on my way past."
5B045C85-1,2024-06-04,Warehouse A,Facilities,Minor Slip/Trip,Ordinary,"Just before heading home, an extension cord was temporarily taped across the floor for the vacuum. Flattened the mat out with my foot and kept walking."
252E7544-B,2025-04-07,Warehouse A,R&D,Minor Slip/Trip,Ordinary,"while doing some cleanup, a stray paperclip was on the ground in the hallway."
C8E42075-0,2024-04-14,Loading Dock South,Quality Assurance,Minor Maintenance,Ordinary,"At the start of the morning shift, the door hinge to the breakroom is squeaking quite loudly. Left a sticky note on it for the janitorial staff."
45982922-B,2025-02-28,R&D Lab,Sanitation,Equipment/LOTO,Critical,"During the shift handover, the pressure release valve on the main boiler was completely rusted shut. It's a miracle no one was standing underneath when it happened. I immediately locked out the machine (LOTO) and called the shift supervisor."
6A5287AC-8,2024-02-27,Assembly Station Alpha,Logistics,Behavioral,Ordinary,"While doing some cleanup, someone forgot to push their ergonomic chair back in under the desk. Someone might stub their toe if they aren't looking. No action taken, just reporting it for the record."
7BC60571-B,2024-08-29,Cold Storage,Facilities,Housekeeping,Ordinary,"While doing some cleanup, a wet mop was left leaning against the wall instead of being hung up. Purely a cosmetic issue, but worth logging. Flattened the mat out with my foot and kept walking."
680D1A06-0,2025-03-24,Visitor Parking Lot,Human Resources,Housekeeping,Ordinary,"Following up on a previous ticket, the blue recycling bin is full and needs to be emptied. Purely a cosmetic issue, but worth logging. Wiped it up with a paper towel on my way past."
D8216874-0,2026-08-24,Loading Dock North,R&D,Behavioral,Ordinary,"During the shift handover, someone left their lunch in the microwave for too long and it smells. Sent a quick email to facilities about it."
E7390870-3,2024-08-22,Breakroom,Human Resources,Fire/Explosion,Critical,"just after lunch, the emergency fire doors at the end of the hall were chained and padlocked shut. this is a serious precursor to a catastrophic mechanical failure. hit the fire alarm and grabbed the nearest extinguisher just in case."
5F404E98-2,2025-07-04,Visitor Parking Lot,R&D,Minor Maintenance,Ordinary,"While calibrating the sensors, one of the fluorescent overhead lights is flickering annoyingly. I just picked it up myself and threw it away."
D463FC96-5,2024-01-30,Visitor Parking Lot,Sanitation,Uncategorized,Ordinary,I was walking back from the breakroom and a stray paperclip was on the ground in the hallway. Sent a quick email to facilities about it.
3A602604-0,2024-03-02,Warehouse A,Facilities,Minor Maintenance,Ordinary,while calibrating the sensors the paint is peeling off the handrail near the back stairs. left a sticky note on it for the janitorial staff.
59BC0433-9,2025-06-25,Maintenance Shop,Fleet Management,Minor Slip/Trip,Ordinary,"while unloading the delivery truck, a stray paperclip was on the ground in the hallway. someone might stub their toe if they aren't looking. wiped it up with a paper towel on my way past."
44B22560-C,2024-10-10,Server Room,Operations,Minor Slip/Trip,Ordinary,"While unloading the delivery truck, a stray paperclip was on the ground in the hallway. It's just a minor inconvenience. Wiped it up with a paper towel on my way past."
4008F3EE-4,2025-07-24,Freight Elevator,Quality Assurance,Minor Maintenance,Ordinary,"I was walking back from the breakroom and the paint is peeling off the handrail near the back stairs. Just wanted to note it for the next routine maintenance cycle. No action taken, just reporting it for the record."
54DBBB53-0,2025-08-02,Production Line 3,Security,Housekeeping,Ordinary,"while operating the equipment, a wet mop was left leaning against the wall instead of being hung up i just picked it up myself and threw it away"
1A0C5EB0-D,2024-10-10,Welding Bay,Engineering,Housekeeping,Ordinary,"While conducting the monthly audit, someone left their empty coffee cups on the shared workstation Flattened the mat out with my foot and kept walking"
23762A5C-3,2026-05-28,Production Line 3,IT,Minor Maintenance,Ordinary,"During the late night shift, the AC in the admin wing seems to be running a bit warm today Annoying squeak, but harmless Flattened the mat out with my foot and kept walking"
DD026A25-F,2025-04-03,Main Office,Logistics,Behavioral,Ordinary,"Walking the perimeter, people were talking quite loudly near the designated quiet zone. Annoying squeak, but harmless. No action taken, just reporting it for the record."
912C7C93-1,2026-03-27,Production Line 2,Admin,Uncategorized,Ordinary,"While calibrating the sensors, an extension cord was temporarily taped across the floor for the vacuum. It's just a minor inconvenience. Wiped it up with a paper towel on my way past."
EE0B2AF5-1,2026-06-18,Cold Storage,Quality Assurance,Behavioral,Ordinary,"Just before heading home, people were talking quite loudly near the designated quiet zone. Sent a quick email to facilities about it."
77640D90-9,2023-12-30,R&D Lab,Logistics,Behavioral,Ordinary,"during the late night shift, someone forgot to push their ergonomic chair back in under the desk just wanted to note it for the next routine maintenance cycle flattened the mat out with my foot and kept walking"
FA0F7E3B-3,2025-03-07,Cold Storage,R&D,Minor Maintenance,Ordinary,"during the late night shift, one of the fluorescent overhead lights is flickering annoyingly. purely a cosmetic issue, but worth logging. reminded them politely to fix it next time."
EB7DCF64-0,2024-06-17,Hallway C,Operations,Minor Maintenance,Ordinary,"While unloading the delivery truck, the door hinge to the breakroom is squeaking quite loudly. Not a huge deal but should be fixed when there is time. Flattened the mat out with my foot and kept walking."
6045AFB9-9,2026-02-27,Assembly Station Alpha,Operations,Housekeeping,Ordinary,"During the mid-day inspection, muddy footprints were tracked all through the main visitor lobby. Purely a cosmetic issue, but worth logging. Reminded them politely to fix it next time."
7359BDE8-A,2025-07-08,Production Line 1,Fleet Management,Housekeeping,Ordinary,"While unloading the delivery truck, there was a visible layer of dust buildup on the ceiling ventilation grate. Annoying squeak, but harmless. Flattened the mat out with my foot and kept walking."
2EC0E363-9,2025-11-16,R&D Lab,Sanitation,Minor Maintenance,Ordinary,"While escorting a contractor, teh yellow paint on teh pedestrian walkway lines is starting to fade. Annoying squeak, but harmless. Flattened teh mat out with my foot and kept walking."
7D23BA7D-1,2025-07-29,Visitor Parking Lot,Operations,Chemical/Hazmat,Critical,"a secondary containment drum was overflowing with an unknown, pungent solvent. If someone hadn't noticed, this could have caused a fatal incident. Evacuated the immediate area, hit the emergency stop, and called security."
855EB165-3,2024-12-24,Main Office,IT,Housekeeping,Ordinary,there was a visible layer of dust buildup on the ceiling ventilation grate I just picked it up myself and threw it away
2D6C8E06-7,2024-08-16,Assembly Station Alpha,Operations,Slip/Trip/Fall,Critical,"While conducting the monthly audit, the scaffolding for the overhead repair looked visibly bowed and structurally compromised It's a miracle no one was standing underneath when it happened Evacuated the immediate area, hit the emergency stop, and called security"
C7F6EB38-C,2026-01-13,Hallway C,Manufacturing,Behavioral,Ordinary,"While conducting the monthly audit, someone left their lunch in the microwave for too long and it smells. Sent a quick email to facilities about it."
F546EE82-4,2026-02-06,Mezzanine Level,Admin,Minor Maintenance,Ordinary,"While conducting the monthly audit, the bathroom sink faucet has a slow, steady drip. Annoying squeak, but harmless. Reminded them politely to fix it next time."
99BF0FF0-8,2025-03-10,Freight Elevator,Human Resources,Behavioral,Ordinary,"While doing some cleanup, an employee was walking while texting in the admin corridor. It's just a minor inconvenience."
C4155B45-D,2024-10-24,Assembly Station Alpha,Fleet Management,Housekeeping,Ordinary,"While conducting the monthly audit, someone left their empty coffee cups on the shared workstation. Annoying squeak, but harmless. Wiped it up with a paper towel on my way past."
81A6D9A6-8,2024-07-31,Hallway C,Security,Behavioral,Ordinary,"While conducting the monthly audit, people were talking quite loudly near the designated quiet zone Someone might stub their toe if they aren't looking Put in a low-priority work order in the system"
E277CCBE-3,2024-09-11,Breakroom,Human Resources,Minor Slip/Trip,Ordinary,"during the shift handover, a small piece of packing cardboard was left on the floor near the printers. it's just a minor inconvenience. wiped it up with a paper towel on my way past."
51562177-4,2026-07-24,Chemical Storage,Health & Safety (EHS),Minor Slip/Trip,Ordinary,"Responding to a strange noise, a small piece of packing cardboard was left on the floor near the printers. It's just a minor inconvenience. Put in a low-priority work order in the system."
2C9EC072-A,2024-01-19,Maintenance Shop,Security,Behavioral,Ordinary,"Walking the perimeter, someone was wearing earbuds in both ears while at their desk. Flattened the mat out with my foot and kept walking."
ECE2E440-5,2025-03-12,Freight Elevator,Engineering,Fire/Explosion,Critical,"Doing a random spot check, the only fire extinguisher for the welding bay was depressurized and missing its pin. If someone hadn't noticed, this could have caused a fatal incident. I immediately locked out the machine (LOTO) and called the shift supervisor."
AF1695BC-B,2025-08-05,Hallway C,Admin,Housekeeping,Ordinary,"Responding to a strange noise, there was a visible layer of dust buildup on the ceiling ventilation grate. Annoying squeak, but harmless. No action taken, just reporting it for the record."
B5289484-A,2025-05-03,Paint Shop,Security,Slip/Trip/Fall,Critical,I was walking back from the breakroom and someone left a pallet of heavy materials wedged right in front of the emergency fire exit. Hit the fire alarm and grabbed the nearest extinguisher just in case.
BCED642C-4,2024-09-10,Assembly Station Alpha,Security,Housekeeping,Ordinary,"During the mid-day inspection, there were a few scattered zip ties left on the floor near the racks. Just wanted to note it for the next routine maintenance cycle."
0BA815E7-4,2024-04-22,Mezzanine Level,Security,Minor Maintenance,Ordinary,"During the mid-day inspection, the wall clock in the cafeteria has a dead battery. Someone might stub their toe if they aren't looking. Reminded them politely to fix it next time."
E629D350-B,2026-02-03,Paint Shop,Fleet Management,Behavioral,Ordinary,"During the late night shift, people were talking quite loudly near the designated quiet zone. Someone might stub their toe if they aren't looking. Flattened the mat out with my foot and kept walking."
28B29957-7,2026-01-27,Freight Elevator,Operations,Housekeeping,Ordinary,"Just before heading home, the paper shredder bin is slightly overflowing onto the carpet. Put in a low-priority work order in the system."
496ED7FB-8,2026-03-09,Cold Storage,Health & Safety (EHS),Chemical/Hazmat,Critical,"Following up on a previous ticket, I saw new contractors mixing volatile cleaning agents without wearing any respirators. Could result in permanent eye damage or blindness. Immediately shut off the main gas valve and opened the bay doors for ventilation."
EF591EF8-4,2024-05-18,Rooftop HVAC Unit,Human Resources,Housekeeping,Ordinary,"Following up on a previous ticket, the blue recycling bin is full and needs to be emptied. Purely a cosmetic issue, but worth logging. Reminded them politely to fix it next time."
7BB1F078-E,2024-11-24,Server Room,Fleet Management,Behavioral,Ordinary,"Walking the perimeter, an employee was walking while texting in the admin corridor It's just a minor inconvenience Reminded them politely to fix it next time"
CB01D02E-A,2025-12-11,Chemical Storage,Engineering,Housekeeping,Ordinary,"While doing some cleanup, someone left their empty coffee cups on the shared workstation. Flattened the mat out with my foot and kept walking."
942E9F34-9,2026-07-26,Main Office,Manufacturing,Minor Maintenance,Ordinary,"While conducting the monthly audit, one of the fluorescent overhead lights is flickering annoyingly."
F5C9D2F2-A,2024-11-22,Warehouse A,Facilities,Behavioral,Ordinary,"During my routine walkthrough, a worker was wearing their safety glasses on their forehead while filling out paperwork Left a sticky note on it for the janitorial staff"
203A9BA8-2,2026-07-27,Production Line 2,Manufacturing,Housekeeping,Ordinary,"Just after lunch, there were a few scattered zip ties left on the floor near the racks. Just wanted to note it for the next routine maintenance cycle. Left a sticky note on it for the janitorial staff."
A78C5CDA-2,2025-06-11,Boiler Room,R&D,Minor Maintenance,Ordinary,"While doing some cleanup, the bathroom sink faucet has a slow, steady drip Purely a cosmetic issue, but worth logging"
7E75235A-3,2026-05-04,Loading Dock North,Operations,Housekeeping,Ordinary,"While doing some cleanup, the main trash bin was overflowing with paper towels Not a huge deal but should be fixed when there is time Wiped it up with a paper towel on my way past"
12894805-A,2025-07-26,Warehouse B,Operations,Housekeeping,Ordinary,"During the shift handover, muddy footprints were tracked all through the main visitor lobby. Annoying squeak, but harmless."
EA6E3F89-2,2026-01-06,Hallway C,Operations,Minor Maintenance,Ordinary,During the shift handover the wall clock in the cafeteria has a dead battery.
993DBA93-2,2024-08-13,Visitor Parking Lot,Quality Assurance,Minor Slip/Trip,Ordinary,"following up on a previous ticket, an extension cord was temporarily taped across the floor for the vacuum. annoying squeak, but harmless. reminded them politely to fix it next time."
C6EFF836-6,2026-04-28,Hallway C,Manufacturing,Minor Slip/Trip,Ordinary,I was walking back from the breakroom and a small piece of packing cardboard was left on the floor near the printers Someone might stub their toe if they aren't looking Reminded them politely to fix it next time
AE0632D5-5,2024-08-17,Main Office,Admin,Minor Slip/Trip,Ordinary,"I was walking back from the breakroom and a few drops of water were on the floor near the breakroom sink. Annoying squeak, but harmless. No action taken, just reporting it for the record."
3F6513CA-4,2025-05-11,Maintenance Shop,Engineering,Minor Slip/Trip,Ordinary,an extension cord was temporarily taped across teh floor for teh vacuum. Reminded tehm politely to fix it next time.
2EF90523-7,2026-02-24,Assembly Station Alpha,Logistics,Uncategorized,Ordinary,"Walking the perimeter, one of the fluorescent overhead lights is flickering annoyingly. Reminded them politely to fix it next time."
AC558DC7-7,2024-07-09,Breakroom,Human Resources,Housekeeping,Ordinary,While conducting the monthly audit there were a few scattered zip ties left on the floor near the racks. Left a sticky note on it for the janitorial staff.
FF38FE7A-B,2025-03-05,Rooftop HVAC Unit,Security,Minor Maintenance,Ordinary,"just before heading home, the yellow paint on the pedestrian walkway lines is starting to fade not a huge deal but should be fixed when there is time no action taken, just reporting it for the record"
2790AD87-C,2026-04-21,Hazardous Waste Bay,Sanitation,Minor Slip/Trip,Ordinary,"While escorting a contractor, a small piece of packing cardboard was left on the floor near the printers. Someone might stub their toe if they aren't looking."
E810FAA8-1,2025-03-18,Production Line 1,Admin,Minor Maintenance,Ordinary,"During the mid-day inspection, the AC in the admin wing seems to be running a bit warm today. Looks a bit untidy and unprofessional. Sent a quick email to facilities about it."
92DA07EB-7,2025-11-19,Breakroom,Facilities,Minor Maintenance,Ordinary,"While escorting a contractor, teh wall clock in teh cafeteria has a dead battery. Not a huge deal but should be fixed when tehre is time. Left a sticky note on it for teh janitorial staff."
C3C51D2D-9,2025-02-16,Server Room,Sanitation,Housekeeping,Ordinary,"While unloading the delivery truck, the paper shredder bin is slightly overflowing onto the carpet. Just wanted to note it for the next routine maintenance cycle. Sent a quick email to facilities about it."
F9F94340-0,2024-09-20,Freight Elevator,Operations,Minor Slip/Trip,Ordinary,"Just before heading home, the welcome floor mat in the hallway was slightly bunched up at the corner. Someone might stub their toe if they aren't looking."
53119AA7-E,2026-07-14,Cold Storage,Human Resources,Housekeeping,Ordinary,"walking the perimeter, the paper shredder bin is slightly overflowing onto the carpet. i just picked it up myself and threw it away."
7930380B-4,2024-04-21,Welding Bay,Logistics,Fire/Explosion,Critical,While calibrating the sensors the only fire extinguisher for the welding bay was depressurized and missing its pin Evacuated the immediate area hit the emergency stop and called security
3436E6FC-B,2024-04-02,Security Desk,Fleet Management,Minor Slip/Trip,Ordinary,"At the start of the morning shift, an extension cord was temporarily taped across the floor for the vacuum. Left a sticky note on it for the janitorial staff."
1E9409F5-6,2026-07-08,Hallway C,Quality Assurance,Minor Slip/Trip,Ordinary,"Just before heading home, a small piece of packing cardboard was left on the floor near the printers. Looks a bit untidy and unprofessional. Wiped it up with a paper towel on my way past."
08D84D04-8,2026-03-29,Mezzanine Level,IT,Slip/Trip/Fall,Critical,"Following up on a previous ticket, the scaffolding for the overhead repair looked visibly bowed and structurally compromised. This is a serious precursor to a catastrophic mechanical failure. I immediately locked out the machine (LOTO) and called the shift supervisor."
3D870B8D-D,2025-06-04,Production Line 1,Health & Safety (EHS),Behavioral,Ordinary,i was walking back from the breakroom and someone left their lunch in the microwave for too long and it smells
9B501DC0-B,2026-08-06,Breakroom,Facilities,Housekeeping,Ordinary,"Following up on a previous ticket, there was a visible layer of dust buildup on the ceiling ventilation grate It's just a minor inconvenience Left a sticky note on it for the janitorial staff"
398EAA43-7,2025-10-20,Warehouse B,Operations,Minor Maintenance,Ordinary,"I was walking back from the breakroom and the soap dispenser in the men's restroom is empty again. Purely a cosmetic issue, but worth logging. Wiped it up with a paper towel on my way past."
EF7FC64D-C,2026-03-10,Warehouse A,Sanitation,Uncategorized,Ordinary,"While doing some cleanup, people were talking quite loudly near the designated quiet zone. Sent a quick email to facilities about it."
FA482756-0,2024-09-22,R&D Lab,R&D,Behavioral,Ordinary,a worker was wearing their safety glasses on their forehead while filling out paperwork. not a huge deal but should be fixed when there is time. reminded them politely to fix it next time.
AE1EBE04-D,2026-02-27,Production Line 3,Health & Safety (EHS),Behavioral,Ordinary,I was walking back from the breakroom and someone left their lunch in the microwave for too long and it smells. Someone might stub their toe if they aren't looking.
454E1E7C-B,2026-07-10,Visitor Parking Lot,Quality Assurance,Minor Maintenance,Ordinary,"during the late night shift, the ac in the admin wing seems to be running a bit warm today. sent a quick email to facilities about it."
152EE090-C,2026-08-25,Loading Dock North,Engineering,Housekeeping,Ordinary,"During the mid-day inspection, a wet mop was left leaning against the wall instead of being hung up. Sent a quick email to facilities about it."
4CAB2871-7,2025-11-06,Production Line 3,Engineering,Housekeeping,Ordinary,"During my routine walkthrough, someone left their empty coffee cups on the shared workstation. Wiped it up with a paper towel on my way past."
73FC2F31-7,2024-01-14,Welding Bay,Fleet Management,Fire/Explosion,Critical,"just before heading home, a tall stack of cardboard boxes was pushed directly against an active space heater. could result in permanent eye damage or blindness. i immediately locked out the machine (loto) and called the shift supervisor."
19519960-B,2024-03-07,Warehouse B,Security,Minor Maintenance,Ordinary,"Responding to a strange noise, one of the fluorescent overhead lights is flickering annoyingly Put in a low-priority work order in the system"
2E845716-2,2024-05-26,Breakroom,Engineering,Behavioral,Ordinary,While conducting the monthly audit an employee was walking while texting in the admin corridor. Just wanted to note it for the next routine maintenance cycle. Flattened the mat out with my foot and kept walking.
493C292D-D,2024-01-25,Warehouse B,Quality Assurance,Equipment/LOTO,Critical,"During the shift handover, the laser safety guard on the metal lathe had been intentionally bypassed with black tape. We could be facing a massive environmental spill fine. Evacuated the immediate area, hit the emergency stop, and called security."
6819F683-9,2025-02-08,Loading Dock North,IT,Minor Slip/Trip,Ordinary,"At the start of the morning shift, an extension cord was temporarily taped across the floor for the vacuum. Just wanted to note it for the next routine maintenance cycle. Put in a low-priority work order in the system."
6FFAAC11-B,2025-04-10,Loading Dock North,Admin,Minor Maintenance,Ordinary,"While operating the equipment, the wall clock in the cafeteria has a dead battery. No action taken, just reporting it for the record."
3A63900A-3,2025-02-27,Hazardous Waste Bay,Health & Safety (EHS),Fire/Explosion,Critical,the only fire extinguisher for the welding bay was depressurized and missing its pin. Stood guard to prevent anyone from entering the zone while waiting for Hazmat.
6D37BB41-6,2026-07-25,Production Line 1,Engineering,Behavioral,Ordinary,"while doing some cleanup, someone left their lunch in the microwave for too long and it smells just wanted to note it for the next routine maintenance cycle"
E9931E10-D,2025-06-29,Rooftop HVAC Unit,Human Resources,Minor Maintenance,Ordinary,"While operating the equipment, the door hinge to the breakroom is squeaking quite loudly. Looks a bit untidy and unprofessional. Put in a low-priority work order in the system."
D1A1E7A5-6,2026-01-25,Boiler Room,Security,Minor Slip/Trip,Ordinary,While operating the equipment a small piece of packing cardboard was left on the floor near the printers. Put in a low-priority work order in the system.
6B4F9058-6,2024-03-06,Production Line 2,Operations,Minor Slip/Trip,Ordinary,"During the mid-day inspection, a small piece of packing cardboard was left on the floor near the printers. Flattened the mat out with my foot and kept walking."
D6B5E61D-B,2025-09-25,Paint Shop,Health & Safety (EHS),Minor Maintenance,Ordinary,"While escorting a contractor, one of the fluorescent overhead lights is flickering annoyingly Annoying squeak, but harmless I just picked it up myself and threw it away"
B72CF54E-C,2026-05-20,Production Line 1,Operations,Housekeeping,Ordinary,"during the shift handover, the main trash bin was overflowing with paper towels."
030412CA-D,2026-01-10,Rooftop HVAC Unit,Human Resources,Housekeeping,Ordinary,"During my routine walkthrough, the blue recycling bin is full and needs to be emptied. Someone might stub their toe if they aren't looking. Reminded them politely to fix it next time."
71056ACA-B,2025-10-22,Paint Shop,Health & Safety (EHS),Minor Slip/Trip,Ordinary,"During the mid-day inspection, a small piece of packing cardboard was left on the floor near the printers Sent a quick email to facilities about it"
9BEDA40D-9,2025-06-26,Breakroom,Manufacturing,Behavioral,Ordinary,"just after lunch, someone was wearing earbuds in both ears while at their desk sent a quick email to facilities about it"
FA6843A7-6,2025-06-15,Welding Bay,Sanitation,Minor Slip/Trip,Ordinary,"While doing some cleanup, a stray paperclip was on the ground in the hallway. Annoying squeak, but harmless. Reminded them politely to fix it next time."
53DA686F-F,2025-07-20,Cold Storage,Human Resources,Housekeeping,Ordinary,"During the late night shift, the paper shredder bin is slightly overflowing onto the carpet. It's just a minor inconvenience. Wiped it up with a paper towel on my way past."
DBD8C31F-4,2026-01-01,Breakroom,Sanitation,Housekeeping,Ordinary,just after lunch the paper shredder bin is slightly overflowing onto the carpet. flattened the mat out with my foot and kept walking.
4DEBB9C0-0,2026-02-11,R&D Lab,Engineering,Minor Slip/Trip,Ordinary,"During the late night shift, the welcome floor mat in the hallway was slightly bunched up at the corner. Reminded them politely to fix it next time."
7014B6CA-D,2024-03-13,Assembly Station Alpha,Admin,Minor Maintenance,Ordinary,"While unloading the delivery truck, the bathroom sink faucet has a slow, steady drip. Sent a quick email to facilities about it."
B555EB7A-0,2025-03-20,Paint Shop,Health & Safety (EHS),Uncategorized,Ordinary,"Just before heading home, the bathroom sink faucet has a slow, steady drip."
3A3BF460-C,2026-03-26,Visitor Parking Lot,Manufacturing,Minor Slip/Trip,Ordinary,"Doing a random spot check, a small piece of packing cardboard was left on the floor near the printers. Left a sticky note on it for the janitorial staff."
892B8C33-D,2024-11-14,Production Line 2,Operations,Uncategorized,Ordinary,"while doing some cleanup, a few drops of water were on the floor near the breakroom sink. reminded them politely to fix it next time."
11963EA8-6,2026-08-19,Hazardous Waste Bay,R&D,Behavioral,Ordinary,"During my routine walkthrough, people were talking quite loudly near the designated quiet zone Someone might stub their toe if they aren't looking Reminded them politely to fix it next time"
2DC222F9-4,2026-07-31,Loading Dock North,Logistics,Housekeeping,Ordinary,"During the mid-day inspection, the paper shredder bin is slightly overflowing onto the carpet. Not a huge deal but should be fixed when there is time. I just picked it up myself and threw it away."
90295511-2,2025-10-09,Freight Elevator,Admin,Minor Maintenance,Ordinary,"While calibrating the sensors, the paint is peeling off the handrail near the back stairs. Not a huge deal but should be fixed when there is time. Reminded them politely to fix it next time."
182AFFD9-1,2025-05-02,R&D Lab,Fleet Management,Housekeeping,Ordinary,"I was walking back from the breakroom and there were a few scattered zip ties left on the floor near the racks. Purely a cosmetic issue, but worth logging. Flattened the mat out with my foot and kept walking."
B27C7D9B-0,2025-01-12,Cold Storage,Health & Safety (EHS),Housekeeping,Ordinary,"During the mid-day inspection, the main trash bin was overflowing with paper towels. Not a huge deal but should be fixed when there is time. Put in a low-priority work order in the system."
AE08371F-0,2026-02-18,Boiler Room,Operations,Minor Maintenance,Ordinary,"Just after lunch, the AC in the admin wing seems to be running a bit warm today Purely a cosmetic issue, but worth logging Put in a low-priority work order in the system"
52443C57-E,2025-05-14,Main Office,Human Resources,Minor Slip/Trip,Ordinary,"at the start of the morning shift, an extension cord was temporarily taped across the floor for the vacuum looks a bit untidy and unprofessional no action taken, just reporting it for the record"
5900788F-4,2025-05-22,Visitor Parking Lot,Sanitation,Minor Maintenance,Ordinary,"I was walking back from the breakroom and the bathroom sink faucet has a slow, steady drip. I just picked it up myself and threw it away."
E8957D99-5,2025-04-22,Assembly Station Alpha,Manufacturing,Behavioral,Ordinary,"Doing a random spot check, someone was wearing earbuds in both ears while at their desk. Someone might stub their toe if they aren't looking."
B7293C0E-4,2024-04-02,Mezzanine Level,Facilities,Chemical/Hazmat,Critical,"During the late night shift, a secondary containment drum was overflowing with an unknown, pungent solvent This could lead to a severe chemical burn or respiratory damage I immediately locked out the machine (LOTO) and called the shift supervisor"
5970ED9F-F,2026-04-07,Cold Storage,Sanitation,Minor Slip/Trip,Ordinary,"while unloading the delivery truck, a small piece of packing cardboard was left on the floor near the printers. put in a low-priority work order in the system."
E923BD4F-9,2025-02-01,Server Room,Admin,Behavioral,Ordinary,"While unloading teh delivery truck, people were talking quite loudly near teh designated quiet zone. Not a huge deal but should be fixed when tehre is time. Sent a quick email to facilities about it."
68F81717-6,2026-03-21,Cold Storage,Operations,Minor Maintenance,Ordinary,"Just before heading home, one of the fluorescent overhead lights is flickering annoyingly Wiped it up with a paper towel on my way past"
7BA2B527-5,2025-06-20,Production Line 3,Operations,Minor Slip/Trip,Ordinary,Responding to a strange noise an extension cord was temporarily taped across the floor for the vacuum. Someone might stub their toe if they aren't looking. Reminded them politely to fix it next time.
74E54BA0-5,2024-12-21,Mezzanine Level,Fleet Management,Equipment/LOTO,Critical,"Just after lunch, the overhead crane hoist chain was heavily corroded, bent, and missing a safety latch. Stood guard to prevent anyone from entering the zone while waiting for Hazmat."
983694BB-7,2025-08-08,Warehouse A,Human Resources,Fire/Explosion,Critical,"During the shift handover, a tall stack of cardboard boxes was pushed directly against an active space heater. I confronted the operator, halted work, and reminded them of the life-saving protocols."
929C9119-9,2025-09-10,Visitor Parking Lot,Health & Safety (EHS),Housekeeping,Ordinary,"walking teh perimeter, teh paper shredder bin is slightly overflowing onto teh carpet. just wanted to note it for teh next routine maintnance cycle. flattened teh mat out with my foot and kept walking."
ED984958-5,2024-06-14,Paint Shop,Engineering,Equipment/LOTO,Critical,While unloading the delivery truck the forklift brakes failed completely during a stop sliding 10 feet. This is a serious precursor to a catastrophic mechanical failure. Immediately shut off the main gas valve and opened the bay doors for ventilation.
